scode,sname,securitytype,trademarket,latestnoticedate,reportdate,basiceps,cutbasiceps,totaloperatereve,ystz,yshz,parentnetprofit,sjltz,sjlhz,roeweighted,bps,mgjyxjje,xsmll,publishname,assigndscrpt,gxl,securitytypecode,trademarketcode,firstnoticedate
603301,振德医疗,A股,上交所主板,2019-06-04T00:00:00,2018-03-31T00:00:00,0.26,-,279954265.95,-4.3444,-22.1262,19706793.58,-10.5359,-60.4844,3.46,7.71930002,-0.187948,28.5606,医疗行业,-,-,058001001,069001001001,2018-04-28T00:00:00
002956,西麦食品,A股,深交所中小板,2019-06-03T00:00:00,2018-03-31T00:00:00,0.66,-,237470665.22,-,-,39767380.98,-,-,-,-,-,61.8862,食品饮料,-,-,058001001,069001002003,2019-06-03T00:00:00
300594,朗进科技,A股,深交所创业板,2019-06-03T00:00:00,2018-03-31T00:00:00,0.27,0.27,104141406.43,-,-,18186792.59,-,-,6.27,-,-,41.9155,交运设备,-,-,058001001,069001002002,2019-06-03T00:00:00
300783,三只松鼠,A股,深交所创业板,2019-06-03T00:00:00,2018-03-31T00:00:00,0.6475,-,2254906568.83,-,-,233089482.89,-,-,-,-,-,31.9253,食品饮料,-,-,058001001,069001002002,2019-06-03T00:00:00
000655,金岭矿业,A股,深交所主板,2019-06-01T00:00:00,2018-03-31T00:00:00,0.025,-,245668405.31,7.6211,57.4786,14619191.87,-26.2293,103.5455,0.63,3.88073617,0.449697,23.6477,钢铁行业,-,-,058001001,069001002001,2018-04-28T00:00:00
002247,聚力文化,A股,深交所中小板,2019-05-31T00:00:00,2018-03-31T00:00:00,0.2,-,887961605.39,79.473,-18.6703,165960722.15,109.3524,-21.2275,3.23,6.13199694,-0.233728,23.9672,文化传媒,-,-,058001001,069001002003,2018-04-26T00:00:00
000780,平庄能源,A股,深交所主板,2019-05-30T00:00:00,2018-03-31T00:00:00,-0.004,-,535850892.25,-1.7296,-32.0636,-4040857.68,82.0658,-101.6042,-0.09,4.55403016,-0.584126,46.43,煤炭采选,-,-,058001001,069001002001,2018-04-28T00:00:00
300183,东软载波,A股,深交所创业板,2019-05-30T00:00:00,2018-03-31T00:00:00,0.0557,-,165989576.75,20.9738,-45.2237,25230082.15,-47.0596,-51.8482,0.93,5.83820514,0.033356,55.6836,电子信息,-,-,058001001,069001002002,2018-04-24T00:00:00
300156,神雾环保,A股,深交所创业板,2019-05-30T00:00:00,2018-03-31T00:00:00,-0.06,-,66326805.93,-90.0604,-77.0385,-59067536.5,-158.154,42.8886,-2.15,2.69378845,-0.400597,34.3927,环保工程,-,-,058001001,069001002002,2018-04-28T00:00:00
002114,罗平锌电,A股,深交所中小板,2019-05-30T00:00:00,2018-03-31T00:00:00,0.02,-,307312068.44,28.5793,-39.1891,7764770.9,35.4955,0.0379,0.43,5.5911051,0.073839,16.1601,有色金属,-,-,058001001,069001002003,2018-04-26T00:00:00
000719,中原传媒,A股,深交所主板,2019-05-30T00:00:00,2018-03-31T00:00:00,0.08,-,1587430375.37,2.0167,-39.0062,77467179.76,-14.5578,-65.823,1.07,7.09732822,-0.168925,29.0158,文化传媒,-,-,058001001,069001002001,2018-04-28T00:00:00
600703,三安光电,A股,上交所主板,2019-05-30T00:00:00,2018-03-31T00:00:00,0.24,-,1944913494.68,-2.2625,-7.8766,968289567.63,40.1379,23.0864,4.78,5.08171324,0.374241,51.1299,电子元件,-,-,058001001,069001001001,2018-04-26T00:00:00
300780,德恩精工,A股,深交所创业板,2019-05-30T00:00:00,2018-03-31T00:00:00,0.1,0.09,109311539.06,35.8118,-,11093727.58,44.4947,-,2.38,4.81,0.22,30.9173,机械行业,-,-,058001001,069001002002,2019-05-30T00:00:00
603035,常熟汽饰,A股,上交所主板,2019-05-29T00:00:00,2018-03-31T00:00:00,0.32,-,339273937.81,4.7911,-23.7322,88535021.59,54.9106,39.7858,3.88,8.60521306,-0.059548,24.2219,汽车行业,-,-,058001001,069001001001,2018-04-27T00:00:00
300330,华虹计通,A股,深交所创业板,2019-05-29T00:00:00,2018-03-31T00:00:00,-0.0011,-,31566179.72,2.8614,-58.7484,-181967.06,96.7212,-101.7546,-0.05,2.30798128,-0.236105,29.2235,电子信息,-,-,058001001,069001002002,2018-04-26T00:00:00
300611,美力科技,A股,深交所创业板,2019-05-28T00:00:00,2018-03-31T00:00:00,0.05,-,109840933.33,13.5064,-13.1203,8574641.51,-28.5287,-42.0136,1.26,3.8234965,-0.010737,31.0723,交运设备,-,-,058001001,069001002002,2018-04-27T00:00:00
300782,卓胜微,A股,深交所创业板,2019-05-27T00:00:00,2018-03-31T00:00:00,0.322,0.3208,127681358.74,-,14.5592,24148075.33,-,-7.3695,7.51,4.43590892,0.584549,53.676,电子元件,-,-,058001001,069001002002,2019-05-27T00:00:00
